,Id,Vistas,likes,Comentarios,C_id,Data,Título,C_data,C_Título,País,C_vistas,Subscriptores,No Videos,Titulo,Status,Categoria,Duracao,Data_tendencia
427,aywlRsohBPY,1204330.0,49205.0,2066.0,UC-2Y8dQb0S6DtpxNgAKoJKA,2022-09-13 22:26:24+00:00,,2005-12-16 09:01:28+00:00,PlayStation,US,4278958585,14400000.0,18153,"State of Play | September 13, 2022 | [English]",1,Gaming,1332.0,2022-09-14 00:00:00+00:00
428,VDCK8Ot312I,113876.0,6999.0,,UCIkAO7iHS6R9AtcABE9MdRQ,2022-08-30 03:02:53+00:00,CORINTHIANS X RED BULL BRAGANTINO - 29/08/2022 - BRASILEIRO - AO VIVO,2011-10-05 17:37:00+00:00,Energia 97 FM,BR,101534048,739000.0,794,,0,Sports,10656.0,
429,kW6CbsmNDs4,113881.0,8953.0,118.0,UCMPPsRQg12IYk2V7vOfx-9A,2022-08-23 21:00:21+00:00,CLASSIFICAMOS PARA FINAL!! (FIZ GOL E TEVE CONFUSÃO),2015-12-09 07:22:37+00:00,Vosso Canal,BR,1520129174,6540000.0,3341,,1,Sports,1191.0,2022-08-25 00:00:00+00:00
430,s0x1bPm7fWg,530485.0,84879.0,1598.0,UCj0O6W8yDuLg3iraAXKgCrQ,2022-09-14 20:40:01+00:00,,2013-09-01 23:31:56+00:00,Você Sabia?,BR,7369927269,43500000.0,1354,ENTIDADES MALIGNAS que EXISTEM pelo MUNDO,0,Entertainment,585.0,
431,qcG1jfRZzv4,530446.0,36204.0,242.0,UCs-6sCz2LJm1PrWQN4ErsPw,2022-08-25 17:30:31+00:00,SORTEIO DEFINIDO! BAYERN X BARCELONA E PSG X JUVENTUS EM GRUPOS DA MORTE NA CHAMPIONS LEAGUE 22/23,2009-10-30 00:30:39+00:00,TNT Sports Brasil,BR,2372332002,9120000.0,9862,,1,Sports,3392.0,2022-08-26 00:00:00+00:00
432,XGAppRk3NSQ,174425.0,11866.0,210.0,UCHggIF2Ee-OqgIgtYihoBiQ,2022-08-26 21:54:17+00:00,Minecraft com Bicicletas é diferente mas é Descenders,2012-10-18 17:42:34+00:00,Bitgamer,BR,1501990874,2630000.0,2356,,0,Entertainment,671.0,
433,3Ilo-qsw4ac,174402.0,7130.0,184.0,UCiQ7Ll2Gsb5eQhgQQhZ2lGQ,2022-09-06 21:47:13+00:00,,2016-07-21 16:43:04+00:00,MFM - TNT Sports,,173739286,547000.0,3067,GOLEIRO DÁ GOL DE PRESENTE E ABRE CAMINHO PARA GOLEADA DO SHAKHTAR CONTRA O LEIPZIG NA CHAMPIONS,1,Sports,346.0,2022-09-07 00:00:00+00:00
434,NdCMXozQM3U,117935.0,8143.0,766.0,UCHDV3JN5aqxAy9hwTTVHJow,2022-08-20 19:00:12+00:00,JOGUEI SUBWAY SURFERS PELA PRIMEIRA VEZ!!,2011-10-15 00:47:24+00:00,Skorpion Gamer,BR,1809668703,5680000.0,2495,,0,Gaming,705.0,
435,hFy1nh2NkuQ,117921.0,38069.0,1761.0,UC3KQ5GWANYF8lChqjZpXsQw,2022-08-29 03:43:46+00:00,MERCEARIA,2013-01-21 13:06:10+00:00,whinderssonnunes,,4126788271,43900000.0,523,,1,Comedy,400.0,2022-08-30 00:00:00+00:00
436,wCmZ-kMLpKw,399486.0,54970.0,641.0,UCj0O6W8yDuLg3iraAXKgCrQ,2022-09-15 20:45:01+00:00,,2013-09-01 23:31:56+00:00,Você Sabia?,BR,7372598241,43500000.0,1357,O TUBARÃO BRANCO &quot;FANTASMA&quot; ABANDONADO - ROSIE,0,Entertainment,502.0,
